AOI_setting,ml,features,acc
Questions,logistic,"(' AOI Name', 'Answer')",0.4694444444444444
Questions,logistic,"(' AOI Name', 'Answer', 'Difficulty_1')",0.5072222222222221
Questions,logistic,"(' AOI Name', 'Difficulty_1')",0.551111111111111
Questions,logistic,"(' AOI Name', 'Paragraph_Number')",0.4983333333333333
Questions,logistic,"(' AOI Name', 'Paragraph_Number', 'Answer')",0.47888888888888886
Questions,logistic,"(' AOI Name', 'Paragraph_Number', 'Answer', 'Difficulty_1')",0.4994444444444445
Questions,logistic,"(' AOI Name', 'Paragraph_Number', 'Difficulty_1')",0.551111111111111
Questions,logistic,"(' AOI Name', 'Text ID')",0.5605555555555556
Questions,logistic,"(' AOI Name', 'Text ID', 'Answer')",0.5105555555555555
Questions,logistic,"(' AOI Name', 'Text ID', 'Answer', 'Difficulty_1')",0.5233333333333333
Questions,logistic,"(' AOI Name', 'Text ID', 'Difficulty_1')",0.555
Questions,logistic,"(' AOI Name', 'Text ID', 'Paragraph_Number')",0.5499999999999999
Questions,logistic,"(' AOI Name', 'Text ID', 'Paragraph_Number', 'Answer')",0.5
Questions,logistic,"(' AOI Name', 'Text ID', 'Paragraph_Number', 'Answer', 'Difficulty_1')",0.5099999999999999
Questions,logistic,"(' AOI Name', 'Text ID', 'Paragraph_Number', 'Difficulty_1')",0.5355555555555555
Questions,logistic,"(' AOI Name',)",0.5244444444444444
Questions,logistic,"('Answer', 'Difficulty_1')",0.525
Questions,logistic,"('Answer',)",0.4955555555555556
Questions,logistic,"('Difficulty_1',)",0.5266666666666667
Questions,logistic,"('Paragraph_Number', 'Answer')",0.48611111111111116
Questions,logistic,"('Paragraph_Number', 'Answer', 'Difficulty_1')",0.5177777777777778
Questions,logistic,"('Paragraph_Number', 'Difficulty_1')",0.54
Questions,logistic,"('Paragraph_Number',)",0.4961111111111111
Questions,logistic,"('Text ID', 'Answer')",0.5277777777777778
Questions,logistic,"('Text ID', 'Answer', 'Difficulty_1')",0.5322222222222223
Questions,logistic,"('Text ID', 'Difficulty_1')",0.56
Questions,logistic,"('Text ID', 'Paragraph_Number')",0.5327777777777777
Questions,logistic,"('Text ID', 'Paragraph_Number', 'Answer')",0.5
Questions,logistic,"('Text ID', 'Paragraph_Number', 'Answer', 'Difficulty_1')",0.5066666666666667
Questions,logistic,"('Text ID', 'Paragraph_Number', 'Difficulty_1')",0.5383333333333332
Questions,logistic,"('Text ID',)",0.5499999999999999
Questions,logistic,(),0.5138888888888888
Questions,randomForest,"(' AOI Name', 'Answer')",0.5405555555555556
Questions,randomForest,"(' AOI Name', 'Answer', 'Difficulty_1')",0.5644444444444444
Questions,randomForest,"(' AOI Name', 'Difficulty_1')",0.5561111111111111
Questions,randomForest,"(' AOI Name', 'Paragraph_Number')",0.5344444444444445
Questions,randomForest,"(' AOI Name', 'Paragraph_Number', 'Answer')",0.5416666666666667
Questions,randomForest,"(' AOI Name', 'Paragraph_Number', 'Answer', 'Difficulty_1')",0.5488888888888889
Questions,randomForest,"(' AOI Name', 'Paragraph_Number', 'Difficulty_1')",0.582777777777778
Questions,randomForest,"(' AOI Name', 'Text ID')",0.59
Questions,randomForest,"(' AOI Name', 'Text ID', 'Answer')",0.5522222222222223
Questions,randomForest,"(' AOI Name', 'Text ID', 'Answer', 'Difficulty_1')",0.596111111111111
Questions,randomForest,"(' AOI Name', 'Text ID', 'Difficulty_1')",0.5983333333333333
Questions,randomForest,"(' AOI Name', 'Text ID', 'Paragraph_Number')",0.5783333333333333
Questions,randomForest,"(' AOI Name', 'Text ID', 'Paragraph_Number', 'Answer')",0.561111111111111
Questions,randomForest,"(' AOI Name', 'Text ID', 'Paragraph_Number', 'Answer', 'Difficulty_1')",0.5822222222222222
Questions,randomForest,"(' AOI Name', 'Text ID', 'Paragraph_Number', 'Difficulty_1')",0.5716666666666667
Questions,randomForest,"(' AOI Name',)",0.5427777777777777
Questions,randomForest,"('Answer', 'Difficulty_1')",0.5611111111111111
Questions,randomForest,"('Answer',)",0.5338888888888889
Questions,randomForest,"('Difficulty_1',)",0.5472222222222222
Questions,randomForest,"('Paragraph_Number', 'Answer')",0.5444444444444444
Questions,randomForest,"('Paragraph_Number', 'Answer', 'Difficulty_1')",0.5499999999999999
Questions,randomForest,"('Paragraph_Number', 'Difficulty_1')",0.5444444444444445
Questions,randomForest,"('Paragraph_Number',)",0.5327777777777777
Questions,randomForest,"('Text ID', 'Answer')",0.5455555555555556
Questions,randomForest,"('Text ID', 'Answer', 'Difficulty_1')",0.5688888888888889
Questions,randomForest,"('Text ID', 'Difficulty_1')",0.5694444444444445
Questions,randomForest,"('Text ID', 'Paragraph_Number')",0.5433333333333333
Questions,randomForest,"('Text ID', 'Paragraph_Number', 'Answer')",0.5538888888888888
Questions,randomForest,"('Text ID', 'Paragraph_Number', 'Answer', 'Difficulty_1')",0.548888888888889
Questions,randomForest,"('Text ID', 'Paragraph_Number', 'Difficulty_1')",0.5538888888888889
Questions,randomForest,"('Text ID',)",0.5794444444444444
Questions,randomForest,(),0.525
Sentences,logistic,"(' AOI Name', 'Difficulty_1')",0.5288888888888889
Sentences,logistic,"(' AOI Name', 'Difficulty_2')",0.5244444444444445
