features,ml,acc,ci,set,AOI_setting
(),randomForest,0.5133333333333333,"(0.47437947782814477, 0.5522871888385218)",set_1,Title_para_questions
(),kNeigh,0.4866666666666666,"(0.449453228236786, 0.5238801050965473)",set_1,Title_para_questions
(),svc,0.5,"(0.4734104924007389, 0.526589507599261)",set_1,Title_para_questions
(),logistic,0.46,"(0.4309790415303931, 0.4890209584696069)",set_1,Title_para_questions
(),logisticCV,0.465,"(0.43629479772950963, 0.4937052022704904)",set_1,Title_para_questions
(),XGBClassifier,0.495,"(0.45785341344666924, 0.5321465865533307)",set_1,Title_para_questions
(),ensemble,0.4650000000000001,"(0.43336553910712955, 0.4966344608928706)",set_1,Title_para_questions
"(' AOI Name',)",randomForest,0.4749999999999999,"(0.4375808177854958, 0.5124191822145041)",set_1,Title_para_questions
"(' AOI Name',)",kNeigh,0.4450000000000001,"(0.41562528736004084, 0.4743747126399593)",set_1,Title_para_questions
"(' AOI Name',)",svc,0.4916666666666667,"(0.4694327062723912, 0.5139006270609422)",set_1,Title_para_questions
"(' AOI Name',)",logistic,0.45,"(0.4212160136811507, 0.47878398631884933)",set_1,Title_para_questions
"(' AOI Name',)",logisticCV,0.4533333333333334,"(0.42509958298993256, 0.4815670836767342)",set_1,Title_para_questions
"(' AOI Name',)",XGBClassifier,0.49,"(0.4564916814020652, 0.5235083185979348)",set_1,Title_para_questions
"(' AOI Name',)",ensemble,0.4749999999999999,"(0.4429906196468506, 0.5070093803531492)",set_1,Title_para_questions
"('Text ID',)",randomForest,0.4583333333333333,"(0.41918287922936587, 0.49748378743730065)",set_1,Title_para_questions
"('Text ID',)",kNeigh,0.4783333333333333,"(0.4361198730231113, 0.5205467936435554)",set_1,Title_para_questions
"('Text ID',)",svc,0.4866666666666667,"(0.46379350736073216, 0.5095398259726013)",set_1,Title_para_questions
"('Text ID',)",logistic,0.4633333333333333,"(0.43376184380646243, 0.4929048228602041)",set_1,Title_para_questions
"('Text ID',)",logisticCV,0.4883333333333333,"(0.4577788911993768, 0.5188877754672898)",set_1,Title_para_questions
"('Text ID',)",XGBClassifier,0.515,"(0.4782600855852478, 0.5517399144147522)",set_1,Title_para_questions
"('Text ID',)",ensemble,0.4516666666666666,"(0.4167141672678605, 0.48661916606547284)",set_1,Title_para_questions
"(' AOI Name', 'Text ID')",randomForest,0.42,"(0.3869363990149831, 0.45306360098501686)",set_1,Title_para_questions
"(' AOI Name', 'Text ID')",kNeigh,0.4700000000000001,"(0.4325793417127467, 0.5074206582872535)",set_1,Title_para_questions
